id,carat,cut,color,clarity,depth,table,x,y,z
0,0.45,Premium,E,SI1,62.8,58.0,4.88,4.84,3.05
1,1.23,Ideal,H,SI1,61.0,56.0,6.96,6.92,4.23
2,0.33,Ideal,I,IF,61.8,55.0,4.46,4.47,2.76
3,0.51,Premium,D,VS2,58.0,60.0,5.29,5.26,3.06
4,0.4,Premium,E,VS2,62.2,59.0,4.71,4.74,2.94
5,0.32,Very Good,G,VVS2,64.0,55.0,4.31,4.35,2.77
6,0.75,Ideal,G,SI1,62.2,57.0,5.8,5.84,3.62
7,1.99,Premium,G,SI2,59.1,61.0,8.08,8.05,4.77
8,1.33,Premium,H,VS2,62.6,58.0,7.07,7.01,4.41
9,1.0,Ideal,D,SI1,61.9,57.0,6.39,6.41,3.96
10,0.5,Good,G,SI2,63.8,57.0,4.98,5.02,3.19
11,0.28,Good,J,VVS2,58.4,60.0,4.27,4.33,2.51
12,0.34,Premium,E,VS1,59.9,58.0,4.58,4.54,2.73
13,1.04,Very Good,E,SI1,63.5,56.0,6.41,6.37,4.06
14,0.52,Ideal,G,VVS2,62.4,55.0,5.17,5.19,3.23
15,0.72,Ideal,F,VS2,62.5,56.0,5.73,5.76,3.59
16,0.32,Premium,F,SI1,62.7,57.0,4.4,4.37,2.75
17,1.0,Premium,I,SI2,58.2,60.0,6.61,6.55,3.83
18,0.41,Ideal,G,VVS1,61.8,55.0,4.76,4.78,2.95
19,0.28,Ideal,D,VVS1,61.7,57.0,4.2,4.23,2.6
20,0.57,Premium,E,SI1,61.4,58.0,5.28,5.34,3.26
21,0.3,Ideal,G,SI1,61.0,58.0,4.29,4.36,2.64
22,0.72,Ideal,I,VVS2,61.6,57.0,5.73,5.76,3.54
23,0.24,Ideal,H,VVS2,62.5,54.0,3.95,3.98,2.48
24,1.24,Premium,H,SI2,61.2,57.0,7.02,6.87,4.25
25,0.23,Very Good,E,VVS1,62.9,58.0,3.94,3.95,2.48
26,0.91,Good,I,VS2,64.2,55.0,6.13,6.09,3.92
27,0.41,Ideal,G,VS2,62.1,57.0,4.72,4.78,2.95
28,0.5,Premium,D,SI1,62.6,56.0,5.05,5.04,3.16
29,0.32,Ideal,E,VS2,60.8,55.0,4.49,4.42,2.71
30,0.34,Ideal,F,VVS1,61.6,56.0,4.5,4.53,2.78
31,0.85,Ideal,G,SI1,60.4,56.0,6.26,6.17,3.75
32,0.33,Premium,I,VS2,61.0,61.0,4.46,4.43,2.71
33,0.9,Good,D,VVS1,62.9,58.0,6.01,6.1,3.81
34,0.32,Ideal,I,VVS2,62.6,54.0,4.41,4.37,2.75
35,0.7,Very Good,G,VS2,59.6,60.0,5.71,5.8,3.43
36,0.73,Ideal,D,VS2,61.8,54.0,5.89,5.92,3.65
37,1.09,Fair,H,SI1,64.4,60.0,6.49,6.42,4.16
38,0.51,Ideal,D,VS1,61.7,54.0,5.15,5.12,3.17
39,0.77,Ideal,G,SI2,61.2,57.0,5.94,5.98,3.65
40,0.33,Premium,D,VVS1,61.8,58.0,4.43,4.4,2.73
41,0.51,Ideal,E,SI1,62.5,56.0,5.07,5.1,3.18
42,1.67,Very Good,I,VS2,60.7,60.0,7.61,7.68,4.64
43,0.33,Premium,E,VVS2,60.3,58.0,4.49,4.47,2.7
44,0.8,Ideal,G,VS2,62.1,56.0,5.94,6.0,3.71
45,1.24,Premium,E,SI2,60.5,62.0,6.97,6.89,4.19
46,1.54,Premium,G,SI1,63.0,59.0,7.31,7.26,4.59
47,0.3,Ideal,D,VS2,61.4,55.0,4.32,4.34,2.66
48,0.9,Good,F,VS2,62.7,59.0,6.1,6.14,3.84
49,1.03,Premium,H,SI2,62.7,62.0,6.43,6.38,4.02
50,0.37,Premium,E,VS2,61.8,59.0,4.6,4.56,2.83
51,1.0,Very Good,I,SI1,60.4,63.0,6.44,6.37,3.87
52,0.33,Ideal,F,IF,60.8,55.0,4.49,4.53,2.74
53,0.55,Ideal,D,VS2,61.6,56.0,5.25,5.3,3.25
54,0.5,Very Good,I,VS1,61.5,55.0,5.12,5.16,3.16
55,0.32,Ideal,D,SI2,61.7,55.0,4.38,4.4,2.71
56,0.31,Ideal,G,VS2,61.8,57.0,4.36,4.34,2.69
57,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77
58,0.52,Ideal,G,VVS2,62.4,55.0,5.19,5.17,3.23
59,0.71,Very Good,F,VS1,62.6,55.0,5.66,5.71,3.56
60,0.51,Ideal,H,IF,59.6,59.0,5.2,5.24,3.11
61,0.41,Good,J,IF,63.6,54.0,4.75,4.72,3.01
62,1.01,Fair,D,SI2,64.6,56.0,6.31,6.24,4.05
63,0.32,Good,E,VS2,64.1,54.0,4.34,4.37,2.79
64,0.32,Ideal,E,IF,61.9,56.0,4.42,4.4,2.73
65,0.71,Ideal,D,VS2,61.2,55.0,5.74,5.78,3.53
66,0.71,Premium,I,SI2,60.3,58.0,5.72,5.78,3.47
67,0.32,Ideal,H,SI1,61.9,54.0,4.39,4.43,2.73
68,0.37,Premium,J,VS2,61.1,60.0,4.6,4.63,2.82
69,1.51,Premium,E,SI1,61.5,58.0,7.38,7.33,4.52
70,1.23,Premium,G,SI2,62.1,58.0,6.85,6.8,4.24
71,0.76,Ideal,G,SI1,61.2,57.0,5.85,5.9,3.59
72,0.32,Premium,I,VVS1,60.1,61.0,4.45,4.4,2.66
73,1.01,Good,G,SI1,63.2,59.0,6.32,6.36,4.01
74,0.51,Very Good,D,VS1,63.1,58.0,5.05,5.1,3.2
75,1.0,Very Good,F,SI2,59.9,61.0,6.42,6.46,3.86
76,0.9,Very Good,D,SI2,62.9,59.0,6.06,6.15,3.84
77,1.5,Premium,I,VS2,62.3,58.0,7.31,7.26,4.54
78,0.52,Ideal,G,VS1,62.4,55.1,5.11,5.15,3.2
79,0.9,Good,D,SI1,63.8,57.0,6.12,6.07,3.89
80,0.71,Fair,E,VS2,64.6,59.0,5.62,5.59,3.62
81,1.15,Ideal,H,VS2,62.4,56.0,6.71,6.65,4.17
82,0.53,Ideal,D,VS2,61.0,56.0,5.26,5.29,3.22
83,1.13,Premium,G,I1,61.2,58.0,6.77,6.66,4.11
84,2.01,Good,I,VS2,59.9,65.0,8.14,8.19,4.89
85,0.75,Ideal,E,SI2,62.6,55.0,5.72,5.79,3.6
86,1.37,Ideal,G,VS1,62.2,55.0,7.09,7.12,4.42
87,0.5,Very Good,D,SI1,58.8,60.0,5.17,5.23,3.06
88,1.1,Ideal,H,SI2,62.0,56.5,6.58,6.63,4.09
89,0.41,Premium,G,VS2,61.7,61.0,4.74,4.7,2.91
90,1.18,Premium,H,SI1,61.8,58.0,6.74,6.79,4.18
91,0.31,Ideal,H,VS2,61.5,57.0,4.38,4.33,2.68
